id;ingresos;gastos_financieros;default
1273;2785;955;0
1274;928;0;0
1275;1064;95;1
1276;1404;718;1
1277;1512;276;1
1278;1672;466;0
1279;1407;103;0
1280;1071;0;0
1281;1176;0;0
1282;1176;0;0
1283;1023;227;0
1284;1197;341;0
1285;1284;0;1
1286;1141;179;0
1287;1155;146;0
1288;979;248;0
1289;2066;926;0
1290;966;273;0
1291;1050;0;0
1292;1201;64;1
1293;2174;0;0
1294;1500;906;0
1295;1119;0;0
1296;959;0;1
1297;1015;0;0
1298;1071;0;0
1299;1112;93;0
1300;3010;1115;0
1301;1407;770;0
1302;1233;113;0
1303;1624;109;0
1304;987;58;1
1305;1302;214;1
1306;987;15;1
1307;1099;0;0
1308;928;0;0
1309;1967;1225;0
1310;1050;828;0
1311;1010;0;0
1312;1085;0;0
1313;980;0;1
1314;1195;217;1
1315;1309;258;0
1316;1148;9;0
1317;1099;0;0
1318;1125;49;0
1319;1239;76;0
1320;1055;118;0
1321;1029;0;0
1322;1252;141;0
1323;1004;129;0
1324;1288;0;0
1325;1092;0;1
1326;973;64;0
1327;2681;810;1
1328;1481;187;0
1329;1354;96;0
1330;1150;0;1
1331;1120;157;0
1332;2023;176;0
1333;1526;958;0
1334;2415;1001;0
1335;1303;194;0
1336;1061;256;0
1337;966;0;1
1338;980;62;0
1339;915;0;0
1340;1316;288;1
1341;1057;40;0
1342;1290;409;0
1343;2251;254;0
1344;1330;499;0
1345;1841;491;0
1346;1176;158;0
1347;1001;161;0
1348;1190;106;0
1349;1162;201;1
1350;870;0;1
1351;1169;311;0
1352;2716;963;0
1353;1134;313;0
1354;1288;28;0
1355;1015;598;1
1356;1372;13;1
1357;1148;143;0
1358;952;62;0
1359;1092;0;0
1360;1393;236;1
1361;1456;648;1
1362;1057;287;1
1363;1379;583;0
1364;1127;0;0
1365;1379;247;0
1366;1218;0;0
1367;991;72;1
1368;1085;77;0
1369;1176;141;0
1370;987;0;0
1371;1068;316;0
1372;1428;103;0
1373;1428;419;0
1374;1303;113;1
1375;1316;238;0
1376;1134;58;0
1377;2660;250;0
1378;1778;943;0
1379;1638;311;0
1380;1071;0;0
1381;1071;0;0
1382;2156;1833;0
1383;1974;0;0
1384;1029;0;1
1385;1404;133;1
1386;1176;201;0
1387;1061;149;0
1388;1211;319;0
1389;1071;92;0
1390;917;0;1
1391;1085;187;0
1392;1022;32;1
1393;1099;105;0
1394;1150;118;1
1395;1561;738;0
1396;1491;362;1
1397;1148;0;0
1398;1939;1290;0
1399;1264;263;0
1400;1064;61;0
1401;1131;0;0
1402;1519;126;0
1403;1680;582;0
1404;2550;1523;0
1405;1750;607;0
1406;1155;32;0
1407;1001;0;0
1408;1414;318;0
1409;1610;798;0
1410;1057;34;0
1411;1894;699;0
1412;2499;656;0
1413;2548;29;0
1414;1334;144;0
1415;1841;539;0
1416;1442;590;0
1417;1162;127;0
1418;909;0;1
1419;1099;74;0
1420;1085;27;0
1421;1323;197;0
1422;1575;0;0
1423;1120;0;0
1424;1281;144;0
1425;3073;823;0
1426;1697;636;0
1427;1659;932;0
1428;1278;0;0
1429;1392;254;1
1430;1197;229;1
1431;1316;495;0
1432;1036;0;1
1433;952;44;0
1434;909;152;0
1435;994;21;1
1436;2653;1642;0
1437;1491;1020;0
1438;1004;0;1
1439;1239;549;0
1440;1190;0;1
1441;1358;0;0
1442;1533;131;0
1443;1029;314;0
1444;1344;275;0
1445;1841;142;0
1446;1373;900;0
1447;1176;509;0
1448;1211;228;1
1449;1519;515;1
1450;1071;181;0
1451;1176;121;0
1452;1087;137;0
1453;1043;0;0
1454;1155;0;0
1455;1348;370;0
1456;1017;0;1
1457;973;0;0
1458;966;86;1
1459;1512;226;0
1460;1176;111;1
1461;1099;99;0
1462;1570;447;0
1463;1022;0;0
1464;2919;2509;0
1465;1106;206;0
1466;2688;731;0
1467;1227;0;0
1468;1120;0;0
1469;966;374;1
1470;1112;0;1
1471;1323;396;0
1472;1106;560;1
1473;1430;0;0
1474;1208;234;0
1475;1260;385;0
1476;1271;319;0
1477;1218;249;0
1478;1015;29;1
1479;1131;204;1
1480;994;0;0
1481;1157;85;1
1482;1507;395;1
1483;1099;232;1
1484;940;0;0
1485;1042;0;0
1486;1288;193;0
1487;1239;0;0
1488;1512;83;0
1489;1150;0;0
1490;1197;9;0
1491;1428;0;1
1492;1463;0;0
1493;1246;249;0
1494;1659;403;0
1495;889;27;0
1496;1071;265;0
1497;1442;126;0
1498;1162;176;0
1499;1120;131;0
1500;1182;215;0
1501;1547;89;1
1502;2136;667;0
1503;1042;0;0
